,dbcv,dbcv,dbcv,dbcv,noise,noise,noise,noise,n_clusters,n_clusters,n_clusters,n_clusters
,min,mean,max,std,min,mean,max,std,min,mean,max,std
config_id,,,,,,,,,,,,
93.0,0.245,0.364,0.712,0.176,0.0,0.332,0.432,0.165,3,88.333,109,41.908
45.0,0.097,0.363,0.811,0.242,0.0,0.245,0.4,0.19,4,76.667,115,56.326
23.0,0.279,0.326,0.416,0.049,0.341,0.409,0.464,0.04,64,74.667,82,6.377
21.0,0.257,0.31,0.367,0.04,0.358,0.389,0.415,0.027,100,108.167,114,6.242
81.0,0.178,0.306,0.358,0.069,0.001,0.244,0.388,0.189,4,76.667,122,56.631
95.0,0.227,0.289,0.348,0.044,0.41,0.432,0.47,0.026,72,76.0,82,3.406
79.0,0.247,0.282,0.341,0.033,0.344,0.395,0.442,0.038,173,194.833,208,14.303
76.0,0.238,0.279,0.312,0.031,0.412,0.421,0.443,0.011,406,421.0,459,19.442
9.0,0.092,0.271,0.412,0.109,0.0,0.253,0.406,0.196,4,79.167,122,58.321
22.0,0.231,0.269,0.334,0.04,0.389,0.434,0.461,0.033,87,95.667,101,5.428
